snr1_db,metric1,snr2_db,metric2,amp
-0.703272,4.40393686e+00,-1.354381,6.74802160e+00,0.6
1.756962,1.62944448e+00,-6.623753,1.79787576e+00,0.6
1.756962,1.62944448e+00,-1.123026,1.78296113e+00,0.6
1.756962,1.62944448e+00,-3.306642,1.73250568e+00,0.6
1.756962,1.62944448e+00,-5.569645,6.74472284e+00,0.6
1.756962,1.62944448e+00,-3.902214,2.96741676e+00,0.6
1.756962,1.62944448e+00,-3.921738,1.98632145e+00,0.6
-9.659780,1.22346866e+00,-12.189692,5.58271027e+00,0.6
-9.659780,1.22346866e+00,-2.395916,1.62145865e+00,0.6
-9.659780,1.22346866e+00,-2.535721,1.53820157e+00,0.6
-9.659780,1.22346866e+00,-2.443125,9.12455857e-01,0.6
-9.659780,1.22346866e+00,-7.016932,2.13946986e+00,0.6
-7.106450,2.78045845e+00,-4.231181,2.39805031e+00,0.6
-8.746525,1.34177029e+00,0.302671,1.28731215e+00,0.6
-3.840897,2.19408107e+00,-8.336637,1.16596484e+00,0.6
-3.840897,2.19408107e+00,1.030878,1.64731789e+00,0.6
-3.840897,2.19408107e+00,-8.300719,1.59839332e+00,0.6
-1.316695,3.48962021e+00,-10.476734,1.27269006e+00,0.6
-3.586452,9.05966759e-01,-4.808019,2.56315017e+00,0.6
1.617599,3.89792657e+00,-13.714426,1.85535491e+00,0.6
1.202713,2.50376916e+00,1.425311,2.23677397e+00,0.6
-8.554578,2.86587882e+00,-4.654201,1.53471625e+00,0.6
-1.099247,1.70099604e+00,-11.359868,1.70330310e+00,0.6
1.700879,1.84114418e+01,-10.590797,2.08630753e+00,0.6
1.700879,1.84114418e+01,-8.891583,1.99673927e+00,0.6
-7.113620,1.04471695e+00,-7.754487,3.53872657e+00,0.6
-7.113620,1.04471695e+00,-2.435957,1.96949530e+00,0.6
-7.113620,1.04471695e+00,-3.156083,3.59416342e+00,0.6
0.021852,1.73592877e+00,-3.388590,2.87913704e+00,0.6
0.021852,1.73592877e+00,-13.897511,1.41833246e+00,0.6
-6.909408,1.22562778e+00,-0.237694,9.40233171e-01,0.6
-9.576291,1.87473655e+00,-7.866513,2.22134590e+00,0.6
-2.841768,9.65098143e-01,-5.952332,1.67171228e+00,0.6
-16.886705,4.21425819e+00,-7.406193,1.46131480e+00,0.6
-5.678386,4.14827681e+00,-3.148123,3.68166161e+00,0.6
-7.754675,5.64626122e+00,-2.023410,3.45461845e+00,0.6
-7.754675,5.64626122e+00,-9.114326,1.77319539e+00,0.6
-5.374491,1.21188092e+00,-23.474859,1.45684564e+00,0.6
-5.374491,1.21188092e+00,-6.452822,1.85728252e+00,0.6
-5.374491,1.21188092e+00,-1.797809,4.05386496e+00,0.6
-5.007764,2.81039762e+00,-8.757695,9.49654043e-01,0.6
-13.255922,1.69643140e+00,-1.539681,1.56447041e+00,0.6
-0.998244,2.74554873e+00,-9.781317,1.88166916e+00,0.6
